HDI rank,Country,GER-Pre-primary-female(2015),GER-Primary-female(2015),GER-Secondary-female(2015),Youth unemployment rate - ratio (2015),Total unempoyment rate - ratio(2015),"Share of paid employment in non-agriculture, female(2015)","Life expectancy at age 50, female(2015)",Old-age pension recipients-ratio(2006-2013)
184,Burundi,7,128,35,1.07,1.50,..,24.6,0.29
185,Burkina Faso,4,85,28,0.83,0.57,..,23.2,0.07
186,Chad,1,88,14,1.21,1.48,..,23.5,..
187,Niger,7,65,16,0.80,0.71,..,24.5,..
188,Central African Republic,6,80,12,1.06,1.13,..,23.7,..
189,Korea (Democratic People's Rep. of),..,..,..,1.01,1.02,..,27.9,..
190,Marshall Islands,49,105,..,..,..,..,..,..
191,Monaco,..,..,..,..,..,..,..,..
192,Nauru,96,100,83,..,..,..,..,..
193,San Marino,108,93,96,..,..,43.4,..,..
194,Somalia,..,..,..,1.06,1.21,..,24.0,..
195,Tuvalu,93,102,90,..,..,..,..,..
